Numero,Enunciado,Alternativas,Gabarito,Tipo,Tema
1,"000,00, o segundo de R$ 2.000,00, o terceiro de R$ 4.000,00 e o quarto de R$ 2.000,00.",,d,dissertativa,
10,"000,00. Sabendo que o INSS pagará uma aposentadoria de R$ 2.800,00, quanto ele",,a,dissertativa,
18,B 19. C 20. B 21. A 22. C 23. A 24. A 25. D 26. C 27. B 28. D 29. A 30. B 31. D 32. A 33. D 34. D,,b,dissertativa,
20,"000,00 de lucro. Se o cliente resgatar R$ 50.000,00, qual será o valor líquido que",,c,dissertativa,
35,A 36. B 37. D 38. A 39. C 40. C 41. D 42. B 43. B 44. A 45. B 46. A 47. A 48. B 49. A 50. A 51. C,,b,dissertativa,
36,Previdência Complementar – PGBL).,,b,dissertativa,
52,"000,00 em Letras de Câmbio – LC; R$ 68.000,00 em Letras de Crédito do Agronegócio –",,c,dissertativa,
190,"000,00, sendo que R$ 138.700,00 de contribuições. Com isso, ele decide solicitar a",,,dissertativa,
200,"000,00 e, após 60 dias, as vendeu integralmente por R$ 220.000,00. Nesse caso, o",,a,dissertativa,
250,"000,00 e suas despesas pessoais anuais são de R$ 100.000,00. Sua atual carteira tem",,,dissertativa,
500,"000,00 e despesas anuais de R$ 800.000,00. A direção da fundação precisa fazer uma",,c,dissertativa,
2014,"Em relação a proteção do FGC, os ativos que possuem esta garantia são:",,,dissertativa,
